Unnamed: 0,model,phase_strategy,threshold,bias,lr,initial_weights,neuron_outputs
24,phase-encoding,original,0.3,False,0.1,0.4148859784394432,"[0.6397705078125, 0.6337890625, 0.6319580078125, 0.6387939453125, 0.6400146484375, 0.6365966796875, 0.6217041015625, 0.6319580078125, 0.6396484375, 0.6385498046875, 0.6302490234375, 0.635009765625, 0.63037109375, 0.6334228515625, 0.6270751953125, 0.6337890625, 0.633056640625, 0.636962890625, 0.6292724609375, 0.6387939453125]"
25,phase-encoding,original,0.3,True,0.1,0.4148859784394432,"[0.63671875, 0.6395263671875, 0.6314697265625, 0.6353759765625, 0.62890625, 0.63720703125, 0.6319580078125, 0.6427001953125, 0.64013671875, 0.6336669921875, 0.637939453125, 0.6356201171875, 0.6273193359375, 0.63720703125, 0.6297607421875, 0.6348876953125, 0.6226806640625, 0.63720703125, 0.631591796875, 0.643798828125]"
26,phase-encoding,original,0.5,False,0.02,0.4148859784394432,"[0.6290283203125, 0.63818359375, 0.625, 0.632568359375, 0.6368408203125, 0.6220703125, 0.6253662109375, 0.637451171875, 0.6429443359375, 0.630615234375, 0.6375732421875, 0.639404296875, 0.6197509765625, 0.62939453125, 0.644287109375, 0.63427734375, 0.6260986328125, 0.633544921875, 0.63623046875, 0.6279296875]"
27,phase-encoding,original,0.5,True,0.02,0.4148859784394432,"[0.6356201171875, 0.634521484375, 0.629638671875, 0.6280517578125, 0.62451171875, 0.6309814453125, 0.6414794921875, 0.6331787109375, 0.6380615234375, 0.6318359375, 0.644775390625, 0.6446533203125, 0.631591796875, 0.63525390625, 0.6368408203125, 0.6375732421875, 0.6278076171875, 0.6439208984375, 0.6358642578125, 0.6337890625]"
28,phase-encoding,original,0.5,False,0.1,0.4148859784394432,"[0.6385498046875, 0.6312255859375, 0.633544921875, 0.6300048828125, 0.6484375, 0.6217041015625, 0.631103515625, 0.627197265625, 0.63671875, 0.63330078125, 0.63671875, 0.6251220703125, 0.6395263671875, 0.6405029296875, 0.633056640625, 0.6361083984375, 0.6358642578125, 0.6390380859375, 0.628662109375, 0.634765625]"
29,phase-encoding,original,0.5,True,0.1,0.4148859784394432,"[0.642578125, 0.6282958984375, 0.6234130859375, 0.6357421875, 0.639404296875, 0.625732421875, 0.64013671875, 0.640625, 0.63720703125, 0.63818359375, 0.6357421875, 0.6375732421875, 0.6370849609375, 0.64013671875, 0.6287841796875, 0.6324462890625, 0.630859375, 0.633056640625, 0.63916015625, 0.62744140625]"
30,phase-encoding,original,0.7,False,0.02,0.4148859784394432,"[0.628662109375, 0.6351318359375, 0.6400146484375, 0.6236572265625, 0.6319580078125, 0.6341552734375, 0.6329345703125, 0.64306640625, 0.645263671875, 0.635009765625, 0.643798828125, 0.631103515625, 0.64111328125, 0.6378173828125, 0.6307373046875, 0.6324462890625, 0.63134765625, 0.6368408203125, 0.64404296875, 0.6297607421875]"
31,phase-encoding,original,0.7,True,0.02,0.4148859784394432,"[0.634521484375, 0.632568359375, 0.6341552734375, 0.632080078125, 0.6341552734375, 0.6297607421875, 0.6290283203125, 0.6328125, 0.632568359375, 0.6351318359375, 0.6280517578125, 0.6407470703125, 0.631103515625, 0.631103515625, 0.64697265625, 0.6279296875, 0.6324462890625, 0.6307373046875, 0.6270751953125, 0.6300048828125]"
32,phase-encoding,original,0.7,False,0.1,0.4148859784394432,"[0.6324462890625, 0.6212158203125, 0.6380615234375, 0.6402587890625, 0.6302490234375, 0.6375732421875, 0.62939453125, 0.6353759765625, 0.6429443359375, 0.6331787109375, 0.633056640625, 0.632080078125, 0.63427734375, 0.6390380859375, 0.63720703125, 0.6343994140625, 0.639892578125, 0.6387939453125, 0.6314697265625, 0.63916015625]"
33,phase-encoding,original,0.7,True,0.1,0.4148859784394432,"[0.6263427734375, 0.6361083984375, 0.6302490234375, 0.6358642578125, 0.6337890625, 0.6334228515625, 0.631591796875, 0.6392822265625, 0.6337890625, 0.6328125, 0.63818359375, 0.6290283203125, 0.627197265625, 0.641845703125, 0.6361083984375, 0.6514892578125, 0.63427734375, 0.628662109375, 0.63330078125, 0.6302490234375]"
